user,mentions_count,link
cdirdal,1,https://twitter.com/cdirdal
mollysoda,1,https://twitter.com/mollysoda
thr,1,https://twitter.com/thr
the_hip_hapa,1,https://twitter.com/the_hip_hapa
dre20,1,https://twitter.com/dre20
_beth___,1,https://twitter.com/_beth___
snakemannn,1,https://twitter.com/snakemannn
rubyriottwwe,1,https://twitter.com/rubyriottwwe
pep48ito,1,https://twitter.com/pep48ito
qnp,1,https://twitter.com/qnp
greg_a_,1,https://twitter.com/greg_a_
amc_tv,1,https://twitter.com/amc_tv
camillajeanette,1,https://twitter.com/camillajeanette
panic_kid,1,https://twitter.com/panic_kid
jessetyler,1,https://twitter.com/jessetyler
indigo81067,1,https://twitter.com/indigo81067
mattstopera,1,https://twitter.com/mattstopera
tmalloysaint,1,https://twitter.com/tmalloysaint
vjvass,1,https://twitter.com/vjvass
ernie_vick,1,https://twitter.com/ernie_vick
officialr5,1,https://twitter.com/officialr5
buzzfeedandrew,1,https://twitter.com/buzzfeedandrew
darth_pingu,1,https://twitter.com/darth_pingu
thenotoriouscat,1,https://twitter.com/thenotoriouscat
karlstefanovic,1,https://twitter.com/karlstefanovic
thetammysuydam,1,https://twitter.com/thetammysuydam
jasonsegel,1,https://twitter.com/jasonsegel
mcjunkie,1,https://twitter.com/mcjunkie
mcdonalds,1,https://twitter.com/mcdonalds
tumblr,1,https://twitter.com/tumblr
nala_cat,1,https://twitter.com/nala_cat
nickcannon,1,https://twitter.com/nickcannon
ellemoxley,1,https://twitter.com/ellemoxley
margie_far,1,https://twitter.com/margie_far
lipsofanangel48,1,https://twitter.com/lipsofanangel48
girlreadthis,1,https://twitter.com/girlreadthis
anna_grace4,1,https://twitter.com/anna_grace4
angelakinsey,1,https://twitter.com/angelakinsey
gutterisatool,1,https://twitter.com/gutterisatool
latherocomplex,1,https://twitter.com/latherocomplex
wgnnews,1,https://twitter.com/wgnnews
letterman,1,https://twitter.com/letterman
_ianr,1,https://twitter.com/_ianr
filmfanaticx1,1,https://twitter.com/filmfanaticx1
catwisdom101,1,https://twitter.com/catwisdom101
phxbizhayley,1,https://twitter.com/phxbizhayley
themarkhenry,1,https://twitter.com/themarkhenry
sharedbraincell,1,https://twitter.com/sharedbraincell
bydawndais,1,https://twitter.com/bydawndais
lyladaniels,1,https://twitter.com/lyladaniels
itunesmovies,1,https://twitter.com/itunesmovies
mrgdr,1,https://twitter.com/mrgdr
indowntownpdx,1,https://twitter.com/indowntownpdx
theiveyshotel,1,https://twitter.com/theiveyshotel
extratv,1,https://twitter.com/extratv
ebay,1,https://twitter.com/ebay
mattbrockelman,1,https://twitter.com/mattbrockelman
gillianjacobs,1,https://twitter.com/gillianjacobs
mattsizemore,1,https://twitter.com/mattsizemore
mallofamerica,1,https://twitter.com/mallofamerica
southbyfreenoms,1,https://twitter.com/southbyfreenoms
tikitessie,1,https://twitter.com/tikitessie
dynamicforces,1,https://twitter.com/dynamicforces
reallytalltruth,1,https://twitter.com/reallytalltruth
williambibbiani,1,https://twitter.com/williambibbiani
hell0kiwi,1,https://twitter.com/hell0kiwi
nightline,1,https://twitter.com/nightline
twilightreader3,1,https://twitter.com/twilightreader3
carbinekane,1,https://twitter.com/carbinekane
pierced_pretty,1,https://twitter.com/pierced_pretty
katiekangas,1,https://twitter.com/katiekangas
vampss_,1,https://twitter.com/vampss_
laweekly,1,https://twitter.com/laweekly
cooking_j,1,https://twitter.com/cooking_j
milehighcomics,1,https://twitter.com/milehighcomics
alexlandherr,1,https://twitter.com/alexlandherr
licensemag,1,https://twitter.com/licensemag
lindalatte,1,https://twitter.com/lindalatte
missymaintains,1,https://twitter.com/missymaintains
geewhizzle,1,https://twitter.com/geewhizzle
sirpurr,1,https://twitter.com/sirpurr
arielbombs,1,https://twitter.com/arielbombs
zerealmadcatter,1,https://twitter.com/zerealmadcatter
thegooddinosaur,1,https://twitter.com/thegooddinosaur
newfidadian,1,https://twitter.com/newfidadian
megglet_bakes,1,https://twitter.com/megglet_bakes
jwaltersiv,1,https://twitter.com/jwaltersiv
melissajbeaver,1,https://twitter.com/melissajbeaver
comicbookrehab,1,https://twitter.com/comicbookrehab
amazonmusic,1,https://twitter.com/amazonmusic
adloftx,1,https://twitter.com/adloftx
webchic1,1,https://twitter.com/webchic1
kathleenhanna,1,https://twitter.com/kathleenhanna
msdwright,1,https://twitter.com/msdwright
neonkiss,1,https://twitter.com/neonkiss
adamsandler,1,https://twitter.com/adamsandler
daffynewt,1,https://twitter.com/daffynewt
tshirtoutlet,1,https://twitter.com/tshirtoutlet
msrebeccablack,1,https://twitter.com/msrebeccablack
alexiskep,1,https://twitter.com/alexiskep
amazonvideo,1,https://twitter.com/amazonvideo
haley,1,https://twitter.com/haley
marisam9401,1,https://twitter.com/marisam9401
andrewwk,1,https://twitter.com/andrewwk
500thingsmycatt,1,https://twitter.com/500thingsmycatt
gohastings,1,https://twitter.com/gohastings
forbes,1,https://twitter.com/forbes
prepareaface,1,https://twitter.com/prepareaface
littleleelister,1,https://twitter.com/littleleelister
jimmy_walker,1,https://twitter.com/jimmy_walker
alexcharnes,1,https://twitter.com/alexcharnes
nashxdallass,1,https://twitter.com/nashxdallass
queen_cerii,1,https://twitter.com/queen_cerii
demeterceo,1,https://twitter.com/demeterceo
jakeylime,1,https://twitter.com/jakeylime
calebpjohnson,1,https://twitter.com/calebpjohnson
westfieldcomics,1,https://twitter.com/westfieldcomics
shaq,1,https://twitter.com/shaq
mcuban,1,https://twitter.com/mcuban
dcbservice,1,https://twitter.com/dcbservice
austinpetsalive,1,https://twitter.com/austinpetsalive
suzanne_marie7,1,https://twitter.com/suzanne_marie7
liavain,1,https://twitter.com/liavain
aprillee92,1,https://twitter.com/aprillee92
nerdygmr5,1,https://twitter.com/nerdygmr5
mindykaling,1,https://twitter.com/mindykaling
kmannon072861,1,https://twitter.com/kmannon072861
thebookcon,1,https://twitter.com/thebookcon
ianziering,1,https://twitter.com/ianziering
silly_rabbits,1,https://twitter.com/silly_rabbits
sxswp,1,https://twitter.com/sxswp
oskarklaus,1,https://twitter.com/oskarklaus
sportscenter,1,https://twitter.com/sportscenter
ohmbeads,1,https://twitter.com/ohmbeads
tamgallacher92,1,https://twitter.com/tamgallacher92
cnet,1,https://twitter.com/cnet
kinky_pixie,1,https://twitter.com/kinky_pixie
nene2snaps,1,https://twitter.com/nene2snaps
dxracer,1,https://twitter.com/dxracer
kanyewest,1,https://twitter.com/kanyewest
hmvtweets,1,https://twitter.com/hmvtweets
ashleyd911,1,https://twitter.com/ashleyd911
huffpostcomedy,1,https://twitter.com/huffpostcomedy
maximus1865,1,https://twitter.com/maximus1865
sharethis,1,https://twitter.com/sharethis
radioandysxm,1,https://twitter.com/radioandysxm
alissamandicino,1,https://twitter.com/alissamandicino
brucewayne2010,1,https://twitter.com/brucewayne2010
tampatheatre,1,https://twitter.com/tampatheatre
mk12679,1,https://twitter.com/mk12679
mgm_studios,1,https://twitter.com/mgm_studios
mnlottery,1,https://twitter.com/mnlottery
laurieshook,1,https://twitter.com/laurieshook
spirithalloween,1,https://twitter.com/spirithalloween
